Date,Open,High,Low,Close,Volume,sentiment_score,return_1d,return_7d,volatility_7d,volatility_14d,ma_7,ma_21,ma_cross,hl_ratio,oc_ratio,volume_ma7,volume_ratio,sentiment_lag1,sentiment_lag2,sentiment_rolling7,rsi_14
2021-11-25,57165.41796875,59367.96875,57146.68359375,57274.6796875,34284016248,0.047525,0.017666069374003168,0.005840015635389717,1253.629758229557,3227.595660488156,57708.674107142855,61406.96595982143,-3698.2918526785725,0.03878302189326408,0.0019113254592090785,34127375565.57143,1.004589883629569,-0.1807666666666666,0.14985,0.15360119047619047,31.522091989676525
2021-11-26,58960.28515625,59183.48046875,53569.765625,53569.765625,41810748221,-0.249525,-0.06468677053655503,-0.0782836463508827,1976.2755577496769,3398.068132905953,57058.700892857145,61047.16071428572,-3988.4598214285725,0.10479259668685549,-0.09142627985880061,34571424201.14286,1.2094019609298543,0.047525,-0.1807666666666666,0.06929047619047618,27.647148970398064
2021-11-27,53736.4296875,55329.2578125,53668.35546875,54815.078125,30560857714,0.0,0.02324655494514305,-0.08178134939075998,1736.9115816786032,3216.4485127268745,56361.255580357145,60727.52250744047,-4366.2669270833285,0.030300099909781896,0.0200729457422608,34562366037.0,0.8842235419092469,-0.249525,0.047525,-0.012409523809523815,30.38624559064523
2021-11-28,54813.0234375,57393.84375,53576.734375,57248.45703125,28116886357,0.0,0.044392510044424904,-0.025234250051978657,1469.7687213800941,2519.328817114256,56149.53850446428,60438.068638392855,-4288.5301339285725,0.06667619658144444,0.044431659503821726,34847143001.57143,0.8068634595304434,0.0,-0.249525,-0.012409523809523815,34.22423403884552
2021-11-29,57291.90625,58872.87890625,56792.52734375,57806.56640625,32370840356,0.0,0.009748898117819094,0.02695499213119068,1599.9299997076082,1924.8357959372775,56366.29241071428,59973.294270833336,-3607.001860119053,0.035988153108417006,0.008983121525128167,34466388512.0,0.9392002398142062,0.0,0.0,-0.03327380952380952,38.35609548239908
2021-11-30,57830.11328125,59113.40234375,56057.28125,57005.42578125,36708594618,0.09485,-0.013858989986877734,-0.009790819900251657,1542.4589546020245,1766.3128268387525,56285.771205357145,59498.70368303572,-3212.9324776785725,0.053611056348871394,-0.014260520223939883,34355358614.714287,1.0684969128011905,0.0,0.0,-0.04113095238095237,42.860506046949624
2021-12-01,56907.96484375,59041.68359375,56553.08203125,57229.828125,36858195307,0.0,0.003936508510805847,0.01686913932456946,1583.1154017887486,1524.9228844169731,56421.400111607145,59128.92261904762,-2707.5225074404734,0.04348434451112551,0.005655856471650806,34387162688.71429,1.0718591597874603,0.09485,0.0,-0.015307142857142858,42.90606701140805
2021-12-02,57217.37109375,57349.234375,55895.1328125,56477.81640625,32379968686,0.0,-0.013140205787574133,-0.013913011571567324,1539.5838183978437,1532.276674715273,56307.5625,58725.48716517857,-2417.9246651785725,0.025746419656888238,-0.012925352447393087,34115155894.142857,0.9491373507561557,0.0,0.09485,-0.022096428571428572,48.80606279756525
2021-12-03,56509.1640625,57482.16796875,52496.5859375,53598.24609375,39789134215,0.0,-0.05098586481791345,0.0005316519200282421,1531.1573937668823,1742.1040446496174,56311.631138392855,58222.73976934524,-1911.1086309523816,0.0930176338705113,-0.05151231693200204,33826353893.285713,1.1762761762773923,0.0,0.0,0.013549999999999998,39.30978111789746
2021-12-04,53727.87890625,53904.6796875,42874.6171875,49200.703125,61385677469,0.0,-0.08204639683653359,-0.10242391677700446,3106.15664330784,2457.784644235974,55509.57756696428,57495.65290178572,-1986.0753348214348,0.22418505833091182,-0.08426120430232296,38229899572.57143,1.6056981094724614,0.0,0.0,0.013549999999999998,28.10217705156151
